,availability,avg_rating,brand,color,currency,description,images,name,price,original_price,review_count,scraped_at,url,category,cloth_gender
0,instock,5.0,adidas,black,usa,"this merino long sleeve tee is made with nature. pull on this merino long sleeve t-shirt from adidas terrex and head outdoors. designed for extending your range across a variety of landscapes, the blend of merino wool and lyocell provides a soft feel while regulating your body's temperature, keeping you comfortable across versatile activities and temperatures. chafe-free flatlock seams let you move with freedom through the mountains. and a longer back hem provides coverage against the elements.  this merino baselayer long sleeve tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/50db1b32c549467c980300be1e3318e5_9366/Terrex_Xperior_Merino_150_Baselayer_Long_Sleeve_Tee_Black_HZ8559_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/a4fd96124136457ea4dafe07362ff2a5_9366/Terrex_Xperior_Merino_150_Baselayer_Long_Sleeve_Tee_Black_HZ8559_22_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/057d515019794d32a2aac1ab48b0a779_9366/Terrex_Xperior_Merino_150_Baselayer_Long_Sleeve_Tee_Black_HZ8559_23_hover_model.jpg']",terrex xperior merino 150 baselayer long sleeve tee,100,100,1,2023-12-11 03:49:21,https://www.adidas.com/us/terrex-xperior-merino-150-baselayer-long-sleeve-tee/HZ8559.html,clothing,men
1,instock,3.0,adidas,black,usa,"an eye for the unexpected. using imagination, wit and a strong point of view, jason dill's built a lasting legacy in skateboarding. the dill eyes short sleeve tee mixes his signature collage aesthetics and subversive approach with 3-stripes iconography.   we partner with better cotton to improve cotton farming globally. better cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.    better cotton is sourced via a chain-of-custody model called mass balance. this means that better cotton is not physically traceable to end products. however, better cotton farmers benefit from the demand for better cotton in equivalent volumes to those we ""source.""   find out more here: bettercotton.org/learnmore","['https://assets.adidas.com/images/w_600,f_auto,q_auto/c76e4f48517649ef9bedb1e0653583ca_9366/Dill_Eyes_Short_Sleeve_Tee_Black_II5953_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/2485c1d2d71f461ebb58f5c0a11a4409_9366/Dill_Eyes_Short_Sleeve_Tee_Black_II5953_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/84301328a77f49d3aaec5eaa7f62e318_9366/Dill_Eyes_Short_Sleeve_Tee_Black_II5953_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/0689af6c95714c119447afa90166fc76_9366/Dill_Eyes_Short_Sleeve_Tee_Black_II5953_01_laydown.jpg']",dill eyes short sleeve tee,20,32,1,2023-12-11 03:49:21,https://www.adidas.com/us/dill-eyes-short-sleeve-tee/II5953.html,clothing,men
2,instock,3.0,adidas,better scarlet s23,usa,a classic and versatile tee that's made for easy styling. meet your new favorite tee. this classic adidas t-shirt boasts a slim fit and a contrast hem for some refined vintage vibes. pair it with your favorite dark denim for an effortlessly classic look. it's made of super-soft cotton to keep you comfortable.  our cotton products support more sustainable cotton farming.,"['https://assets.adidas.com/images/w_600,f_auto,q_auto/022ced4121f34050a4bcaefb00f8f095_9366/Adicolor_Classics_3-Stripes_Tee_Red_IA4852_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/74dfc4a8d71c45b4b866aefb00f8f957_9366/Adicolor_Classics_3-Stripes_Tee_Red_IA4852_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/dbb288a6eaf44292b9e5aefb00f900f3_9366/Adicolor_Classics_3-Stripes_Tee_Red_IA4852_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/dc06adf61aab4e499ba9aefb00f92577_9366/Adicolor_Classics_3-Stripes_Tee_Red_IA4852_01_laydown.jpg']",adicolor classics 3-stripes tee,35,35,897,2023-12-11 03:49:21,https://www.adidas.com/us/adicolor-classics-3-stripes-tee/IA4852.html,clothing,men
3,instock,3.0,adidas,black,usa,"a stretchy t-shirt for training, with the iconic badge of sport logo. whether you're going after that extra rep in the gym, or fitting in a quick session at home, the designed for training tee will help you make it count.   lift, pull, and push your limits, fully supported by dynamic cutlines and stretchy elastane to enable freedom of movement in upper body strength training. using sweat wicking or absorbent materials, adidas aeroready products keep you feeling dry as you move. no matter how you choose to work up a sweat.   the attention to detail means comfort is high on the agenda, with tactical seam placement on the shoulders, arms and side body to prevent chafing. the unique lift panel will help you reach your gains without restriction, alongside robust fabric designed to take on whatever you're up against. a unique placement of the iconic adidas logo adds the finishing touch.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/47ffc1d03d7f40a19730ad8f0099356d_9366/Designed_for_Training_Tee_Black_HB9204_01_laydown.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/de8823f01a684a4382e7421b97203dcd_9366/Designed_for_Training_Tee_Black_HB9204_02_laydown_hover.jpg']",designed for training tee,16,35,581,2023-12-11 03:49:21,https://www.adidas.com/us/designed-for-training-tee/HB9204.html,clothing,men
4,instock,4.8,adidas,olive strata,usa,"a performance training tee made in part with recycled materials. cardio to arm day, this adidas base layer t-shirt will help you power through. break your personal records in total comfort thanks to mesh on the upper back, where you need it most, and moisture-absorbing aeroready. everything about this tee is made so you can move freely, like a dynamic shape and super-stretchy fabric.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/62524aac50cc4104aae5afcf00d090a4_9366/Techfit_Training_Tee_Green_IM3400_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/969f1fd0b5f04c2db3ffafcf00d09976_9366/Techfit_Training_Tee_Green_IM3400_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/b409ab8dbe98433b9befafcf00d0a187_9366/Techfit_Training_Tee_Green_IM3400_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/e45cba7841804f27a376afcf00d0ca46_9366/Techfit_Training_Tee_Green_IM3400_01_laydown.jpg']",techfit training tee,15,30,85,2023-12-11 03:49:21,https://www.adidas.com/us/techfit-training-tee/IM3400.html,clothing,men
5,instock,3.0,adidas,black,usa,"a long sleeve t-shirt built for explorers. escape the everyday in this long sleeve tee from adidas. with a graphic on the front that celebrates exploration, this top brings an adventurous spirit to your downtime. ribbing on the crewneck and cuffs keep the fit secure whether you're strolling city streets or hiking forest trails. a cotton single jersey build ensures lasting softness and comfort. when wanderlust strikes, this versatile staple has you covered.  the cotton in this product has been sourced through better cotton. better cotton is sourced via a chain of custody model called mass balance. this means that better cotton is not physically traceable to end products.  find out more here: https://bettercotton.org/who-we-are/our-logo/","['https://assets.adidas.com/images/w_600,f_auto,q_auto/6d516070542c445f89b6063bdf5d199f_9366/City_Escape_Town_Camo_Long_Sleeve_Graphic_Tee_Black_IN6230_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/71fd386e0507490180860fb743da6fc5_9366/City_Escape_Town_Camo_Long_Sleeve_Graphic_Tee_Black_IN6230_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/37c27ee3bb0c42d08c4e68c2e4bf9253_9366/City_Escape_Town_Camo_Long_Sleeve_Graphic_Tee_Black_IN6230_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/576d31386a9e47ada13b6c9c68573a41_9366/City_Escape_Town_Camo_Long_Sleeve_Graphic_Tee_Black_IN6230_01_laydown.jpg']",city escape town camo long sleeve graphic tee,40,40,1,2023-12-11 03:49:21,https://www.adidas.com/us/city-escape-town-camo-long-sleeve-graphic-tee/IN6230.html,clothing,men
6,instock,5.0,adidas,light grey heather,usa,"this running tee is made with nature. when it comes to achieving your goals, every second counts. from training to race day, powerful performances call for high-tech, versatile gear. introducing the latest range of lightweight running staples that help you push beyond your limits, distraction-free.  before there were man-made techs in performance apparel, there was merino wool. pull on this ultimate running conquer the elements merino tee and experience the comfort this versatile fabric brings to your daily run. lightweight merino wool delivers warmth with natural breathability, and reflective details add the finishing touch.  this running tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/6905072feda8475496cb2b54b29003b7_9366/Ultimate_Running_Conquer_the_Elements_Merino_Tee_Grey_IL1966_HM1.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/274b624da6854f0fb6b760c0a4f06b6d_9366/Ultimate_Running_Conquer_the_Elements_Merino_Tee_Grey_IL1966_HM3_hover.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/456fd1d235804e96ad126d34cabf2c49_9366/Ultimate_Running_Conquer_the_Elements_Merino_Tee_Grey_IL1966_HM5.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/20bf2b0071c04c01bbb3a4394be16a0c_9366/Ultimate_Running_Conquer_the_Elements_Merino_Tee_Grey_IL1966_HM6.jpg']",ultimate running conquer the elements merino tee,40,100,1,2023-12-11 03:49:21,https://www.adidas.com/us/ultimate-running-conquer-the-elements-merino-tee/IL1966.html,clothing,men
7,instock,3.0,adidas,semi green spark,usa,"a cartoon-inspired cotton t-shirt from adidas basketball. break free of the ordinary in this t-shirt from adidas basketball. made to move with its soft cotton single jersey build, this tee features a lil stripe graphic that lets you flex your style on the court without restrictions. the ribbed crewneck provides a classic, shape-holding fit.  the cotton in this product has been sourced through better cotton. better cotton is sourced via a chain of custody model called mass balance. this means that better cotton is not physically traceable to end products.  find out more here: https://bettercotton.org/who-we-are/our-logo/","['https://assets.adidas.com/images/w_600,f_auto,q_auto/52a676c3feb349f0aed3311a1bea1a53_9366/Lil_Stripe_Wedgie_Tee_Green_IT4727_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/4daeb71816cc44bfb8448f785b5e18ee_9366/Lil_Stripe_Wedgie_Tee_Green_IT4727_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/964b20a0f69c4d8a9176e412eac5cc49_9366/Lil_Stripe_Wedgie_Tee_Green_IT4727_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/d215996a2f5d4f29acd68eb945050432_9366/Lil_Stripe_Wedgie_Tee_Green_IT4727_01_laydown.jpg']",lil stripe wedgie tee,35,35,0,2023-12-11 03:49:21,https://www.adidas.com/us/lil-stripe-wedgie-tee/IT4727.html,clothing,men
8,instock,3.0,adidas,black / mls-mif-3ag,usa,a creative tee to celebrate messi x miami. welcome lionel messi to miami in this soft adidas tee with a bold design and miami inspired colors. the messi logo x miami x #10 represents the g.o.a.t.'s arrival to the city.,"['https://assets.adidas.com/images/w_600,f_auto,q_auto/9d50335bd7e34ce683d81414d629f909_9366/MIAMI_Graphic_Tee_Black_JE9514_01_laydown.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/63fe5489cf2240f6913da1bbe54a7435_9366/MIAMI_Graphic_Tee_Black_JE9514_02_laydown_hover.jpg']","""m""iami graphic tee",24,30,34,2023-12-11 03:49:21,https://www.adidas.com/us/miami-graphic-tee/JE9514.html,clothing,men
9,instock,4.9,adidas,night navy / nhlskr52d,usa,"a long sleeve tee with a kraken graphic out front. howl for the seattle kraken, whether you watch the game in the stands or from your fan cave at home. the all-cotton build in this adidas tee is super-soft, strong and made to last. the long sleeves let you show your team spirit no matter the temperature.","['https://assets.adidas.com/images/w_600,f_auto,q_auto/83391bc005cc430ea2fbaf70018662fc_9366/Kraken_Playmaker_Long_Sleeve_Tee_Blue_HS0344_21_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/0d8e92709b4746d2a26eaf70018696cd_9366/Kraken_Playmaker_Long_Sleeve_Tee_Blue_HS0344_23_hover_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/5290425e2c6347f1bdf0af7001877f88_9366/Kraken_Playmaker_Long_Sleeve_Tee_Blue_HS0344_25_model.jpg', 'https://assets.adidas.com/images/w_600,f_auto,q_auto/18ec687da86c4527a957af71012c2eb5_9366/Kraken_Playmaker_Long_Sleeve_Tee_Blue_HS0344_01_laydown.jpg']",kraken playmaker long sleeve tee,13,32,46,2023-12-11 03:49:21,https://www.adidas.com/us/kraken-playmaker-long-sleeve-tee/HS0344.html,clothing,men
